Time (ms),USB Avg Current (mA),USB Avg Power (mW),USB Avg Voltage (V)
0.00,30.477,155.1889,5.092
0.20,29.9,152.49,5.1
0.40,29.54,150.4177,5.092
0.60,29.521,150.439,5.096
0.80,29.558,150.6276,5.096
1.00,31.608,161.0112,5.094
1.20,31.109,158.3448,5.09
1.40,29.879,152.0841,5.09
1.60,29.719,151.5075,5.098
1.80,29.821,151.7889,5.09
2.00,30.245,154.068,5.094
2.20,30.198,153.889,5.096
2.40,30.967,157.7459,5.094
2.60,29.929,152.3985,5.092
2.80,29.75,151.606,5.096
3.00,30.253,154.0483,5.092
3.20,29.775,151.5547,5.09
3.40,29.743,151.4514,5.092
3.60,29.897,152.3551,5.096
3.80,30.993,158.0023,5.098
4.00,30.259,154.1999,5.096
4.20,29.834,151.9744,5.094
4.40,29.652,150.988,5.092
4.60,29.803,151.8165,5.094
4.80,29.883,152.224,5.094
5.00,30.354,154.5626,5.092
5.20,30.925,157.6557,5.098
5.40,29.753,151.5023,5.092
5.60,29.861,152.2911,5.1
5.80,29.853,152.0712,5.094
6.00,30.123,153.4465,5.094
6.20,29.781,151.7044,5.094
6.40,29.978,152.7079,5.094
6.60,30.936,157.6499,5.096
6.80,29.947,152.4901,5.092
7.00,30.07,153.2367,5.096
7.20,30.071,153.1817,5.094
7.40,29.818,151.7736,5.09
7.60,29.825,151.9285,5.094
7.80,30.022,152.7519,5.088
8.00,31.249,159.2449,5.096
8.20,29.789,151.626,5.09
8.40,29.84,152.0647,5.096
8.60,29.777,151.8031,5.098
8.80,29.931,152.4086,5.092
9.00,30.001,152.8251,5.094
9.20,30.041,153.0889,5.096
9.40,31.737,161.4778,5.088
9.60,31.986,163.0007,5.096
9.80,32.007,163.0437,5.094
10.00,32.038,163.2656,5.096
10.20,31.812,162.1776,5.098
10.40,32.005,163.0335,5.094
10.60,31.564,160.8501,5.096
10.80,31.821,162.2234,5.098
11.00,32.298,164.6552,5.098
11.20,31.904,162.3275,5.088
11.40,31.867,162.2668,5.092
11.60,29.636,151.0251,5.096
11.80,29.63,150.9352,5.094
12.00,29.767,151.514,5.09
12.20,30.041,153.2091,5.1
12.40,30.429,154.9445,5.092
12.60,31.449,160.2641,5.096
12.80,30.142,153.5434,5.094
13.00,30.022,152.872,5.092
13.20,29.828,151.8842,5.092
13.40,29.797,151.9051,5.098
13.60,29.801,151.8063,5.094
13.80,30.037,152.8883,5.09
14.00,30.956,157.6279,5.092
14.20,30.017,153.0267,5.098
14.40,29.752,151.4377,5.09
14.60,29.817,151.8282,5.092
14.80,29.947,152.4901,5.092
15.00,29.95,152.6252,5.096
15.20,29.947,152.7297,5.1
15.40,30.879,157.1741,5.09
15.60,30.01,152.8709,5.094
15.80,29.853,152.1906,5.098
