Time (ms),USB Avg Current (mA),USB Avg Power (mW),USB Avg Voltage (V)
0.00,49.203,249.7544,5.076
0.20,50.561,256.7488,5.078
0.40,51.4,260.9064,5.076
0.60,49.487,251.097,5.074
0.80,49.19,249.9836,5.082
1.00,49.215,250.1106,5.082
1.20,50.573,256.9109,5.08
1.40,51.388,260.8455,5.076
1.60,49.462,251.168,5.078
1.80,49.215,249.9138,5.078
2.00,49.228,250.0782,5.08
2.20,50.622,257.1598,5.08
2.40,51.4,261.3176,5.084
2.60,49.45,251.206,5.08
2.80,49.228,249.7829,5.074
3.00,49.215,249.8154,5.076
3.20,50.585,256.8706,5.078
3.40,51.449,261.4638,5.082
3.60,49.388,250.9898,5.082
3.80,49.19,249.8852,5.08
4.00,49.203,249.7544,5.076
4.20,50.647,257.0842,5.076
4.40,51.425,261.239,5.08
4.60,49.462,251.3659,5.082
4.80,49.19,249.9836,5.082
5.00,49.228,249.9798,5.078
5.20,50.598,256.9366,5.078
5.40,51.499,261.5119,5.078
5.60,49.215,250.0122,5.08
5.80,49.178,249.9226,5.082
6.00,50.536,256.8239,5.082
6.20,51.499,261.8209,5.084
6.40,49.413,251.1169,5.082
6.60,49.215,250.2091,5.084
6.80,49.215,250.0122,5.08
7.00,50.61,257.0988,5.08
7.20,51.462,261.2211,5.076
7.40,49.4,251.1496,5.084
7.60,49.203,249.8528,5.078
7.80,49.19,249.9836,5.082
8.00,50.598,257.2402,5.084
8.20,51.499,261.7179,5.082
8.40,49.363,250.5666,5.076
8.60,49.19,249.9836,5.082
8.80,49.228,250.1767,5.082
9.00,50.598,257.139,5.082
9.20,51.499,261.7179,5.082
9.40,49.45,251.0082,5.076
9.60,49.166,250.0583,5.086
9.80,49.215,250.0122,5.08
10.00,50.585,257.1741,5.084
10.20,51.486,261.343,5.076
10.40,49.4,251.1496,5.084
10.60,49.228,250.0782,5.08
10.80,49.178,249.8242,5.08
11.00,50.622,256.9573,5.076
11.20,51.548,261.7607,5.078
11.40,49.4,251.0508,5.082
11.60,49.302,250.5527,5.082
11.80,49.203,249.7544,5.076
12.00,50.647,257.388,5.082
12.20,51.561,261.7237,5.076
12.40,49.376,251.0276,5.084
12.60,49.141,249.538,5.078
12.80,49.215,250.1106,5.082
13.00,50.598,256.8354,5.076
13.20,51.511,261.7789,5.082
13.40,49.4,251.1496,5.084
13.60,49.24,250.1392,5.08
13.80,49.203,249.8528,5.078
14.00,50.61,257.3012,5.084
14.20,51.536,261.8029,5.08
14.40,49.363,250.4678,5.074
14.60,49.215,250.2091,5.084
14.80,49.228,250.0782,5.08
15.00,50.585,256.6683,5.074
15.20,51.536,262.009,5.084
15.40,49.339,250.6421,5.08
15.60,49.141,249.4397,5.076
15.80,49.203,250.1481,5.084
16.00,50.672,257.4138,5.08
16.20,51.536,262.009,5.084
16.40,49.388,250.6935,5.076
16.60,49.228,250.0782,5.08
16.80,49.178,250.021,5.084
17.00,50.647,257.1855,5.078
17.20,51.61,262.3853,5.084
17.40,49.252,250.2986,5.082
17.60,49.215,250.1106,5.082
17.80,49.166,249.7633,5.08
18.00,50.561,256.951,5.082
18.20,51.585,261.8455,5.076
18.40,49.4,251.0508,5.082
18.60,49.19,249.9836,5.082
18.80,49.252,250.1017,5.078
19.00,50.635,257.3271,5.082
19.20,51.561,261.8268,5.078
19.40,49.363,250.6653,5.078
19.60,49.178,250.021,5.084
19.80,49.178,249.9226,5.082
20.00,50.647,257.4893,5.084
20.20,51.524,261.7419,5.08
20.40,49.314,250.5151,5.08
20.60,49.19,249.8852,5.08
20.80,49.24,250.2377,5.082
21.00,51.635,262.3058,5.08
21.20,49.326,250.5761,5.08
21.40,49.215,249.8154,5.076
21.60,49.228,249.9798,5.078
21.80,50.61,256.8964,5.076
22.00,51.524,261.5358,5.076
22.20,49.339,250.4448,5.076
22.40,49.178,249.9226,5.082
22.60,49.203,250.0496,5.082
22.80,50.635,257.3271,5.082
23.00,51.622,262.0333,5.076
23.20,49.326,250.4774,5.078
23.40,49.252,250.2986,5.082
23.60,49.252,250.2001,5.08
23.80,50.622,256.9573,5.076
24.00,51.61,262.0756,5.078
24.20,49.326,250.6747,5.082
24.40,49.166,249.9599,5.084
24.60,49.203,249.656,5.074
24.80,50.622,256.9573,5.076
25.00,51.598,262.1178,5.08
25.20,49.376,250.7313,5.078
25.40,49.252,250.3972,5.084
25.60,49.24,250.2377,5.082
25.80,50.733,257.7236,5.08
26.00,51.622,262.2398,5.08
26.20,49.302,250.3555,5.078
26.40,49.24,250.0407,5.078
26.60,49.215,249.8154,5.076
26.80,50.61,256.7951,5.074
27.00,51.622,262.343,5.082
27.20,49.326,250.872,5.086
27.40,49.166,249.6649,5.078
27.60,49.166,249.7633,5.08
27.80,50.659,257.449,5.082
28.00,51.622,262.4463,5.084
28.20,49.351,250.8018,5.082
28.40,49.166,249.5666,5.076
28.60,49.215,250.3075,5.086
28.80,50.696,257.7385,5.084
29.00,51.635,262.2025,5.078
29.20,49.289,250.0924,5.074
29.40,49.215,250.0122,5.08
29.60,49.166,249.6649,5.078
29.80,50.585,256.8706,5.078
30.00,51.647,262.5734,5.084
30.20,49.302,250.5527,5.082
30.40,49.24,250.2377,5.082
