Time (ms),USB Avg Current (mA),USB Avg Power (mW),USB Avg Voltage (V)
0.00,8.189,41.8949,5.116
0.20,2.714,13.8523,5.104
0.40,3.437,17.5631,5.11
0.60,4.705,24.0426,5.11
0.80,3.294,16.8126,5.104
1.00,8.26,42.2747,5.118
1.20,2.704,13.8228,5.112
1.40,3.44,17.5922,5.114
1.60,4.686,23.9455,5.11
1.80,3.299,16.8381,5.104
2.00,8.297,42.4143,5.112
2.20,2.693,13.7774,5.116
2.40,3.43,17.5547,5.118
2.60,4.717,24.1322,5.116
2.80,3.282,16.7645,5.108
3.00,8.284,42.3975,5.118
3.20,2.689,13.7677,5.12
3.40,3.434,17.534,5.106
3.60,4.745,24.2185,5.104
3.80,3.358,17.1392,5.104
4.00,8.139,41.6554,5.118
4.20,2.705,13.8117,5.106
4.40,3.461,17.6996,5.114
4.60,4.722,24.1766,5.12
4.80,3.262,16.6427,5.102
5.00,8.234,42.1416,5.118
5.20,2.701,13.7913,5.106
5.40,3.441,17.5973,5.114
5.60,4.734,24.1718,5.106
5.80,3.263,16.6544,5.104
6.00,8.275,42.368,5.12
6.20,2.692,13.7454,5.106
6.40,3.428,17.5376,5.116
6.60,4.742,24.2032,5.104
6.80,3.241,16.5485,5.106
7.00,8.298,42.4858,5.12
7.20,2.699,13.7865,5.108
7.40,3.457,17.686,5.116
7.60,4.761,24.3192,5.108
7.80,3.379,17.2599,5.108
8.00,8.047,41.2167,5.122
8.20,2.759,14.0985,5.11
8.40,3.452,17.6742,5.12
8.60,4.772,24.3563,5.104
8.80,3.302,16.8732,5.11
9.00,8.117,41.4616,5.108
9.20,2.736,13.981,5.11
9.40,3.439,17.6077,5.12
9.60,4.8,24.5088,5.106
9.80,3.247,16.5987,5.112
10.00,8.241,42.1115,5.11
10.20,2.718,13.8944,5.112
10.40,3.451,17.6691,5.12
10.60,4.774,24.3856,5.108
10.80,3.225,16.4862,5.112
11.00,8.287,42.3963,5.116
11.20,2.691,13.7564,5.112
11.40,3.431,17.5667,5.12
11.60,4.79,24.4482,5.104
11.80,3.421,17.4471,5.1
12.00,7.937,40.6216,5.118
12.20,2.764,14.124,5.11
12.40,3.422,17.4659,5.104
12.60,4.814,24.6477,5.12
12.80,3.299,16.8645,5.112
13.00,8.075,41.2955,5.114
13.20,2.724,13.9087,5.106
13.40,3.441,17.5697,5.106
13.60,4.801,24.5235,5.108
13.80,3.237,16.5475,5.112
14.00,8.198,41.9574,5.118
14.20,2.702,13.8342,5.12
14.40,3.455,17.6343,5.104
14.60,4.82,24.6302,5.11
14.80,3.201,16.3635,5.112
15.00,8.244,42.0939,5.106
15.20,2.728,13.9564,5.116
15.40,3.441,17.5835,5.11
15.60,4.808,24.5593,5.108
15.80,3.168,16.1948,5.112
16.00,8.295,42.4538,5.118
16.20,2.704,13.8174,5.11
16.40,3.439,17.6077,5.12
16.60,4.853,24.7794,5.106
16.80,3.368,17.2105,5.11
17.00,7.952,40.6665,5.114
17.20,2.768,14.1445,5.11
17.40,3.422,17.5138,5.118
17.60,4.863,24.8305,5.106
17.80,3.272,16.7199,5.11
18.00,8.086,41.2871,5.106
18.20,2.76,14.0981,5.108
18.40,3.434,17.5752,5.118
18.60,4.842,24.7233,5.106
18.80,3.221,16.4529,5.108
19.00,8.172,41.7753,5.112
19.20,2.72,13.8938,5.108
19.40,3.452,17.6742,5.12
19.60,4.808,24.5496,5.106
19.80,3.183,16.2651,5.11
20.00,8.265,42.2837,5.116
20.20,2.708,13.8379,5.11
20.40,3.433,17.577,5.12
20.60,4.847,24.7488,5.106
20.80,3.45,17.6295,5.11
21.00,7.807,39.9094,5.112
21.20,2.768,14.1334,5.106
21.40,3.437,17.5562,5.108
21.60,4.878,24.9266,5.11
21.80,3.322,16.9555,5.104
22.00,7.976,40.7893,5.114
22.20,2.766,14.1453,5.114
22.40,3.424,17.5103,5.114
22.60,4.85,24.8223,5.118
22.80,3.236,16.5424,5.112
23.00,8.126,41.5401,5.112
23.20,2.758,14.0989,5.112
