Time (ms),USB Avg Current (mA),USB Avg Power (mW),USB Avg Voltage (V)
0.00,30.643,155.9116,5.088
0.20,36.252,184.7402,5.096
0.40,27.574,140.4068,5.092
0.60,28.713,146.3789,5.098
0.80,27.541,140.4591,5.1
1.00,30.696,156.0585,5.084
1.20,36.218,184.422,5.092
1.40,27.579,140.2668,5.086
1.60,28.691,146.0946,5.092
1.80,27.595,140.6241,5.096
2.00,30.75,156.333,5.084
2.20,36.082,183.7296,5.092
2.40,27.593,140.3932,5.088
2.60,28.695,146.2297,5.096
2.80,27.564,140.4661,5.096
3.00,30.768,156.486,5.086
3.20,36.095,183.8679,5.094
3.40,27.591,140.383,5.088
3.60,28.723,146.3724,5.096
3.80,27.526,140.3275,5.098
4.00,30.856,156.9336,5.086
4.20,36.04,183.6599,5.096
4.40,27.58,140.327,5.088
4.60,28.714,146.3266,5.096
4.80,27.546,140.4295,5.098
5.00,30.871,157.0716,5.088
5.20,36,183.384,5.094
5.40,27.554,140.1947,5.088
5.60,28.707,146.2909,5.096
5.80,27.546,140.3744,5.096
6.00,30.938,157.3507,5.086
6.20,35.934,182.9041,5.09
6.40,27.576,140.1412,5.082
6.60,28.698,146.1302,5.092
6.80,27.593,140.6139,5.096
7.00,31.031,157.9478,5.09
7.20,35.921,183.0534,5.096
7.40,27.594,140.2327,5.082
7.60,28.699,146.0205,5.088
7.80,27.577,140.3118,5.088
8.00,31.092,157.8852,5.078
8.20,35.891,182.6134,5.088
8.40,27.609,140.4194,5.086
8.60,28.688,145.9072,5.086
8.80,27.578,140.2617,5.086
9.00,31.103,157.941,5.078
9.20,35.775,182.0232,5.088
9.40,27.602,140.3286,5.084
9.60,28.739,146.7413,5.106
9.80,27.564,140.2456,5.088
10.00,31.187,158.4923,5.082
10.20,35.746,181.9471,5.09
10.40,27.654,140.5376,5.082
10.60,28.724,146.1477,5.088
10.80,27.615,140.5051,5.088
11.00,31.208,158.4742,5.078
11.20,35.718,181.7332,5.088
11.40,27.615,140.3947,5.084
11.60,28.767,146.3665,5.088
11.80,27.614,140.5553,5.09
12.00,31.27,159.1018,5.088
12.20,35.661,181.9424,5.102
12.40,27.632,140.5916,5.088
12.60,28.775,146.4648,5.09
12.80,27.615,140.5603,5.09
13.00,31.324,159.3765,5.088
13.20,27.626,140.5611,5.088
13.40,28.747,146.6672,5.102
13.60,27.624,140.7719,5.096
13.80,31.366,159.4647,5.084
14.00,35.615,181.6365,5.1
14.20,27.598,140.1978,5.08
14.40,28.731,146.5281,5.1
14.60,27.63,140.8025,5.096
14.80,31.441,159.9089,5.086
15.00,35.506,180.9386,5.096
15.20,27.621,140.3699,5.082
15.40,28.705,146.2807,5.096
15.60,27.596,140.7948,5.102
15.80,31.469,160.1143,5.088
16.00,35.466,180.6638,5.094
16.20,27.604,140.3387,5.084
16.40,28.742,146.2393,5.088
16.60,27.581,140.277,5.086
16.80,31.522,160.51,5.092
17.00,35.376,180.2761,5.096
17.20,27.628,140.6265,5.09
17.40,28.724,146.3775,5.096
17.60,27.562,140.5111,5.098
17.80,31.549,160.5213,5.088
18.00,35.325,179.9456,5.094
18.20,27.577,140.4221,5.092
18.40,28.714,146.384,5.098
18.60,27.613,140.7159,5.096
18.80,31.588,160.7197,5.088
19.00,35.308,179.9296,5.096
19.20,27.602,140.5494,5.092
19.40,28.689,146.2565,5.098
19.60,27.561,140.5611,5.1
19.80,31.633,160.8854,5.086
20.00,35.223,179.5668,5.098
20.20,27.612,140.7108,5.096
20.40,28.675,146.1852,5.098
20.60,27.573,140.6223,5.1
20.80,31.718,161.3812,5.088
21.00,35.204,179.47,5.098
21.20,27.582,140.5579,5.096
21.40,28.696,146.3496,5.1
21.60,27.573,140.6223,5.1
21.80,31.754,161.5643,5.088
22.00,35.13,179.0225,5.096
22.20,27.578,140.4823,5.094
22.40,28.727,146.3353,5.094
22.60,27.56,140.3355,5.092
22.80,31.786,161.5364,5.082
23.00,35.134,178.9023,5.092
23.20,27.61,140.5349,5.09
23.40,28.697,146.1825,5.094
23.60,27.583,140.4526,5.092
23.80,31.842,161.821,5.082
24.00,35.041,178.4288,5.092
24.20,27.605,140.5647,5.092
24.40,28.718,146.2895,5.094
24.60,27.593,140.5587,5.094
24.80,31.909,162.2254,5.084
25.00,35.007,178.2556,5.092
25.20,27.6,140.3736,5.086
25.40,28.716,146.107,5.088
25.60,27.588,140.6436,5.098
25.80,31.963,162.6277,5.088
26.00,34.932,177.9436,5.094
26.20,27.613,140.6054,5.092
26.40,28.749,146.3324,5.09
